interval_start_timestamp,channel_name,channel_id,readers,chatters,messages
2021-06-08T00:00:00+00:00,🟣poap-design-contest-season-0,848828431319826462,127,12,55
2021-06-08T00:00:00+00:00,🇮🇷-persian-translation,848842471941472316,4,3,7
2021-06-08T00:00:00+00:00,alphawallet,848939698995068968,37,10,57
2021-06-08T00:00:00+00:00,descent-into-the-maelström,848997240727011358,21,7,145
2021-06-08T00:00:00+00:00,🇮🇩indonesian-translation,848999553931804672,4,4,9
2021-06-08T00:00:00+00:00,⚕sovereign-health,849093288392917032,51,21,153
2021-06-08T00:00:00+00:00,🌐social-media,849287126633938964,56,19,303
2021-06-08T00:00:00+00:00,🤷know-stupid-questions,849288147803832330,42,10,40
2021-06-08T00:00:00+00:00,china,849295576787845180,9,2,2
2021-06-08T00:00:00+00:00,💵contributor-remuneration,849332820799520788,46,13,92
2021-06-08T00:00:00+00:00,no-topics,849387825165369365,29,12,201
2021-06-08T00:00:00+00:00,bankless-dao-x-poap,849648127522635806,32,14,98
2021-06-08T00:00:00+00:00,costa-rica,849721746437046302,2,2,2
2021-06-08T00:00:00+00:00,bankless-dao-app,849723458682355712,29,7,58
2021-06-08T00:00:00+00:00,nft-platform-design,850068339941703711,4,2,5
2021-06-08T00:00:00+00:00,🔦scoap-signal,850205786721746954,19,8,107
2021-06-08T00:00:00+00:00,🧀-bounty-board,850402063741091880,30,6,11
2021-06-08T00:00:00+00:00,🏟start-here,850445259560321104,13,1,1
2021-06-08T00:00:00+00:00,swahili-translation,850687141109563412,1,1,1
2021-06-08T00:00:00+00:00,🇻🇳-vietnamese-translation,850687301130387456,1,1,1
2021-06-08T00:00:00+00:00,🇵🇹-portuguese-translation,850735788848578600,4,4,7
