,id,voter,created,__typename,choice.3,choice.4,choice.5,choice.6,choice.7,proposal.id,proposal.space.id,choice.2,choice.1
34,0x59e5f5b887aa768748c62c3825caad2682f24e4cde28fe5e30f9898bbdb834d3,0xb87cef3Ae435914f150141205866F3569CbAC26E,1647941642,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
35,0xd8b0413d0d45248cd2ad11c1073d07eb0b4c5565bd36e5cb829903c20f81a251,0x1953234b8EB23F6A71D7E8556329C219d030398B,1647941562,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
36,0xfddb3745691946a9e149e8cf6651abdf2e772bb746808dd25e13721e72f13fe1,0x44B6da4d5fe34754DD6bd7F00E15986eac5f23c8,1647941410,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
37,0x2a18ca2601999d453d1417ea0c49cf364fb13aacf364b00adc10819ec6acb73e,0x9F247ACBdF9ec6B4C9EB3c60596B79E0a71C0267,1647941251,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
38,0x6bc3216b31725d9b4b08bec2e25d3ded1bc5ebe85e0cf0bd3a5102cdffb3f803,0x568478262B0FB688db4BEA198783878E9e6b29c1,1647941181,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
39,0xf3f4c5cfbe4380ec8de863723861dbbcb795d9fb4846ba1e953ae8ec331d49cb,0x5D32cC8B77dA54aF05e2F349aa88a6Ccb9a446a4,1647941147,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
40,0x4663e13f23a6c3d426490e0f0152ae13fb18f7708bd833fc073e7eceadb0e363,0x2C8D2e50Ee03f98A2f4CCFbe1A61552b79bDF6fa,1647939357,Vote,1.0,,,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
41,0x81ba984e02b3bc6a7709b1aec3dd0c23c2667da827c879b8fc3773149c0a9071,0xe2D8923A1aBd3738BD0D35da6E832cEe4A0c17Fb,1647928722,Vote,,1.0,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,
42,0x7ce6c531dab9d18a5ed91ed1169352361d3bd375fd1ae104663fd40bde2a1b17,0x81cf5F80e6C9B9653155Db40Dc3176F3938f5d34,1647928714,Vote,,,,,5.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
43,0x377af883f680647de93b23d730ec3d49dc4ac2fde187c5adc5c27578fddaebbb,0x72b2Cb558bF17F9e5AA40754A4e26EC480C07554,1647925612,Vote,,,,,20.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
44,0x79dfd2e6ebbec5c83f2d21c60c9fbf829807add950fb1afeb5c176fe501fad71,0xAcC452a494b59A3F536D717F6222D09C5Acf20A8,1647883378,Vote,,,,1.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
