"ID","Collection","ENS","Minting Date","Tx Count","Power"
"439071","0x8c126eb5ada6c61f5b48e9791d5d539576af87cb","","7/2/2021","1","10"
"439072","0x5d29b68aafb22c491977eacf7dfb1661d2832555","","7/2/2021","1","14"
"439073","0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848","","7/2/2021","1","20"
"439075","0x536299a4fcf0d1d492596c2c816fc20f3f7ec557","","7/2/2021","1","7"
"439077","0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83","","7/2/2021","1","35"
"439078","0xf8adf12348f702080ca79ae8d2db6d0c658f878a","","7/2/2021","1","10"
"439079","0x06dc0cbf44eed256c5975210095be703504a4541","","7/2/2021","1","102"
"439081","0x2b18233fb4306a705471a7271c018ce0ff7dd754","","7/2/2021","1","10"
"439082","0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2","","7/2/2021","1","12"
"439083","0xa53a6fe2d8ad977ad926c485343ba39f32d3a3f6","","7/2/2021","1","24"
"439084","0xe93fb6784e7cec8fb8d283a70295df714f3c0db7","","7/2/2021","1","13"
"439085","0xfd2a31a8a19f747ec416cdc46ffc432da366073a","","7/2/2021","1","12"
"439087","0x61323c5c6696fde1d334fee5f49f1fac8781d0cf","","7/2/2021","1","370"
"439092","0x6350e1a72158e16a28b064ac49b1c9cfeb8aeef1","","7/2/2021","1","8"
"439094","0x9237305e51715b47f24fbfc7c28810781d970809","","7/2/2021","1","82"
"439095","0x5340c96c6cf93ab54f1bb9ae927a1fd4a19336ce","","7/2/2021","1","8"
"439096","0x5c63b361cd0476d3706e1064b112f671de0dc23f","","7/2/2021","1","218"
"439098","0x965156032b16726221f3049ad19370e79d90f16a","","7/2/2021","1","6"
"439102","0xd7cfccc63b5f0d5b772a500632a3e062490a7927","","7/2/2021","1","3"
"439104","0x2ede0ccebfb3bf307dafc57ff700183391620a69","","7/2/2021","1","131"
"439107","0xae5499976ffd3e58be47bdd51c787a5201d957f4","","7/2/2021","1","7"
"439110","0x531bf2ee7050cad7ab1d2536de38185805f508cd","","7/2/2021","1","6"
