ID,Collection,Minting Date,Tx Count,Power
632915,0x7101a39c053954e3e7fd010fdf3f6ef6bdbcbde0,7/30/2021,1,488
632926,0xdae005395074c3073328adff5a6bc9196b1ff977,7/30/2021,1,15
632936,0x53c31293c544bc69898f90009ce27980d7574fa2,7/30/2021,1,348
632938,0x91564f0d22ef831f7eefbbde49ebc15705592240,7/30/2021,1,16
632939,0xac19baabe85dd01b94fe1528c24a9472a4d9b583,7/30/2021,1,16
632944,0x4d0f4cf367568903b5f023809dfe9eb15b5a8e20,7/30/2021,1,87
632957,0x094dc639f0c47b6eca92936e142ecea207b963e4,7/30/2021,1,330
632961,0x61323c5c6696fde1d334fee5f49f1fac8781d0cf,7/30/2021,1,685
632970,0xbde6aa3c89db77002df747776d2830cf9090d94d,7/30/2021,1,5
632973,0xf5a5f9b3e2b0b581cd3a8856d8ea6eb5a969ff13,7/30/2021,1,11
632976,0xcfd1f6ecacbdfbe61e03e942bf677880a5cfac0f,7/30/2021,1,21
632981,0x18035bb5dcff413940151cea396c7ab230072e0b,7/30/2021,1,17
632984,0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9,7/30/2021,1,17
632987,0xddcdd2e4d5b0397537f485a72d971b403423403b,7/30/2021,1,12
632991,0xedacb733f39f5b5743ea22f57cce8966ffd1df06,7/30/2021,1,188
633010,0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3,7/30/2021,1,50
633011,0xcb4020c5bce7e30247d888e96efb9b36570eb265,7/30/2021,1,15
633017,0x468492c6a5239f9f1057cefc894a83bd60c462a0,7/30/2021,1,21
633020,0x9155881a99c41620edfc889e18ec180cdd567bc6,7/30/2021,1,518
633028,0x8504a09352555ff1acf9c8a8d9fb5fdcc4161cbc,7/30/2021,1,568
633029,0x17dfd18987b6b131686fea478600b75d11193335,7/30/2021,1,903
633036,0x5c63b361cd0476d3706e1064b112f671de0dc23f,7/30/2021,1,457
633043,0xea921acfe2d96d30690e06b5d4d64be6e1192ce6,7/30/2021,1,32
633044,0xac4361f56c82ed59d533d45129f407015d84702a,7/30/2021,1,96
633048,0x6b5e2cd96bd6038bf28e10cf21f7e67805259715,7/30/2021,1,23
633049,0x67e867607d16c010bee44925e0217814bbebd801,7/30/2021,1,21
633064,0xc136fcfb1667e5e882b94941efa104447f248560,7/30/2021,1,319
633065,0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8,7/30/2021,1,17
633072,0x06798b722e8cfdb5933ec6d2a45fdba05cb621a7,7/30/2021,1,1
633074,0x254bd5fb03e2d387293721d989fb3e6dff5dcf71,7/30/2021,1,342
633076,0x0040daac32d83c78546ae36da42a496b28ab09e1,7/30/2021,1,6
633081,0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1,7/30/2021,1,13
633085,0x45913a59b1830f97152b3eff60002056573e9089,7/30/2021,1,19
633100,0xb464ca834796272e08dc6460940b281b046a2cee,7/30/2021,1,28
633104,0x90c6577fb57edf1921ae3f7f45df7a31e46b9155,7/30/2021,1,6
633107,0x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5,7/30/2021,1,786
633108,0x501783e585936116220b5028c4c22dc9fdb991bc,7/30/2021,1,500
633109,0x858e517a8e5c28e7d2fbe081a739f0276e85e69b,7/30/2021,1,258
633111,0xe760d7f7910de454eaf95532e08db67f0194aadc,7/30/2021,1,222
633123,0xb30dd1198feed1e22ec969f61eed04cb75937adf,7/30/2021,1,14
633127,0xb48d6c33a96f5519c82569b478fcd723b3a94a2a,7/30/2021,1,16
633142,0x4d2803f468b736b62fe9eec992c8f4c41be4cb15,7/30/2021,1,265
633148,0x910c60c049d833a7fd2f5bda310bbea1c5fa3598,7/30/2021,1,621
633152,0x5d46ed7405a8a87492cd139fcd38bce60cb5030e,7/30/2021,1,605
633155,0x044cd5f498ddbf0ea854ab4bc96110756b26de97,7/30/2021,1,20
