"ID","Owner","ENS","Claim Date","Tx Count","Power"
"242349","0x06dc0cbf44eed256c5975210095be703504a4541","","5/21/2021","1","85"
"242350","0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab","","5/21/2021","1","5"
"242352","0xd2eca69f59fa551c902bb34ce4e889b3bb635c4a","","5/21/2021","1","5"
"242353","0xfc783f00ad1eb798cda2deece3bba749bf783539","","5/21/2021","1","6"
"242354","0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2","","5/21/2021","1","5"
"242355","0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f","","5/21/2021","1","19"
"242356","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","","5/21/2021","1","140"
"242359","0x7e86d59a71189cce55f692b14ef4bed389ab2712","","5/21/2021","1","3"
"242361","0xfb5453340c03db5ade474b27e68b6a9c6b2823eb","","5/21/2021","1","1"
"242362","0xa0070729ea459201fd7389aa6c5a767d0db2bf7a","","5/21/2021","1","2"
"242363","0x028a68b3360f36b8893606fef6bb6b6eab11f3e7","","5/21/2021","1","2"
"242364","0x4d06bd93d38226c6b00c59a3525145cbf112b6e1","","5/21/2021","1","13"
"242365","0xdb0e387ce7158d84486e7dc7b828ff9c351dfab8","","5/21/2021","1","4"
"242366","0x88d9b709ddd27dd1dd1c761352e52a1c96bc78e7","","5/21/2021","1","2"
"242367","0x679e21a0ed6a30ee97a33e04d8009654f1d763e2","","5/21/2021","1","4"
"242374","0xfda01b765ed17bd971e970a24c568513baac43ed","","5/21/2021","1","7"
"242376","0xafa6f7a00e089059db60268ad230af5e311c440c","","5/21/2021","1","16"
"242385","0x08ab6191fecfe37f2a5e1d73a8ac65ecd453e6c9","","5/21/2021","1","2"
"242388","0x7876c01dae77ed92c4184a8ad276f522946408ff","","5/21/2021","1","3"
"242389","0xbf6bff6ee6ea4b9dde2e96728fe8e048b9e98a4d","","5/21/2021","1","2"
"242398","0x7ec6ffd8c5d5620903a22ce7a8b37d62e0e6559a","","5/21/2021","1","5"
"242399","0xb3eafb9f40b8e568b998324dcdfc73b5eabb39b7","","5/21/2021","1","6"
"242400","0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848","","5/21/2021","1","4"
"242402","0x18035bb5dcff413940151cea396c7ab230072e0b","","5/21/2021","1","2"
"242403","0x144606aeab3e5e4544cdb2e5f89d9e988bb6ce77","","5/21/2021","1","3"
"242406","0x47162e548d00ec046e0205c1addbf9f976f6c418","","5/21/2021","1","5"
"242409","0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83","","5/21/2021","1","22"
"242410","0xc3464cff62431e7bc561fd46fae981206a6220a5","","5/21/2021","1","3"
"242413","0xe64ddadbdbd11b21112107ac2d0cfb978bdacea7","","5/21/2021","1","5"
"242416","0xe93fb6784e7cec8fb8d283a70295df714f3c0db7","","5/21/2021","1","6"
"242419","0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733","","5/21/2021","1","11"
"242420","0xb10be5cbbf9655ed3648184ade56d3b4d6cedd4f","","5/21/2021","1","136"
"242424","0x970e2b0bbb3cc2708cf2de5a7d8c103b1220e759","","5/21/2021","1","3"
"242425","0xc220e4c353bd27b6514a9be0670baffcc6a14480","","5/21/2021","1","8"
"242429","0x0a9ccba894168aaaa03f03753f631d0a902303d7","","5/21/2021","1","7"
"242431","0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6","","5/21/2021","1","9"
"242445","0xc7f6bba2c5ad9295874e2f3c6e3bb75ccc5f0745","","5/21/2021","1","2"
"242449","0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2","","5/21/2021","1","4"
"242455","0x3839acf1ee7699d1f46b1be840d8ad8317fdf757","","5/21/2021","1","10"
