ID,Owner,Claim Date,Tx Count,Power
387024,0x0a4de625aa7624dd72cb09a41a6e52fce1993310,6/25/2021,1,14
387025,0x478849da9c519ded12d04ec6e896af6adf3cdd73,6/25/2021,1,250
387027,0x91564f0d22ef831f7eefbbde49ebc15705592240,6/25/2021,1,7
387030,0x1534f20bf35904a10a1ad4c06641515d1c5d60ba,6/25/2021,1,14
387031,0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb,6/25/2021,1,37
387035,0xae059b2bc5397ebfbf523873545edcae340bee5a,6/25/2021,1,23
387037,0x0a9ccba894168aaaa03f03753f631d0a902303d7,6/25/2021,1,18
387038,0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2,6/25/2021,1,8
387041,0xa9eb52b347bc76f95745a92dd1e1c3986bcb1e2c,6/25/2021,1,14
387043,0x965156032b16726221f3049ad19370e79d90f16a,6/25/2021,1,5
387044,0x800d2e35a0b9ba841db838ea4d20723d37bd2c52,6/25/2021,1,9
387046,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,6/25/2021,1,13
387050,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d,6/25/2021,1,28
387052,0x22e29241d2071312047e619666ebf3ddf9f39461,6/25/2021,1,5
387053,0xedd049c56b804bcdbf7e704cc312491e3d50485a,6/25/2021,1,12
387055,0x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93,6/25/2021,1,138
387058,0x7a5ec1f07e30ae65ed1daf82141546896535203a,6/25/2021,1,38
387060,0x26b63e5c83238c2f614d287252e61b0398123076,6/25/2021,1,4
387062,0x7ae41835444183a23baa10ebfdf2997d10130f5d,6/25/2021,1,1
387063,0x2b18233fb4306a705471a7271c018ce0ff7dd754,6/25/2021,1,8
387064,0xa7c4fe5d0c409d6a1618f082857bfe8e781864c4,6/25/2021,1,181
387066,0x2637345813ced8370b17fc033bbe688611f36cb5,6/25/2021,1,158
387068,0x0ffd0ec967f92db20f59cc9668c216d8fb5c24f2,6/25/2021,1,142
387069,0x7b3bddf3af1d6e160d57887ff4516cb3c3add495,6/25/2021,1,18
387072,0xb936e9d14b819796ca0e1576cb6ce8f438e04848,6/25/2021,1,154
387073,0xb795b5957bc72cfb1e71c6a8eb504c195dd52fc4,6/25/2021,1,1
387075,0x35a10dc60fd61cc28ef5a07766b0fca2440f5596,6/25/2021,1,118
387076,0x745ebcbf5916914fe098c2db546501a206485870,6/25/2021,1,224
387078,0xe806b664602db7913cdb81665b9b0ca36a8f32eb,6/25/2021,1,88
387079,0xb6d7fd1bd6213d5fc4b3bf8941d03801d492bba8,6/25/2021,1,111
387081,0xd6a7fc31a693606079dddba8fb3e696459743d8c,6/25/2021,1,101
387083,0xe729986a4b0aec7f13321c9376f1b6c7ac4f8585,6/25/2021,1,136
387084,0x9e87269b0adfec0398ee85f4947f4c3517a3d7f0,6/25/2021,1,205
387085,0xf0e1fe6d748ab6e1e32a2b85aa9e26d0b46e3f1d,6/25/2021,1,99
387086,0x679e21a0ed6a30ee97a33e04d8009654f1d763e2,6/25/2021,1,7
387088,0x6cee5e950fce0c8b1b03e97d4069f845149d1669,6/25/2021,1,84
387089,0xf8adf12348f702080ca79ae8d2db6d0c658f878a,6/25/2021,1,8
387092,0xdd021698cf58d87716cbfde53f89170742f3f5d7,6/25/2021,1,121
387093,0x638ee1dcaa4018957095aa59cdb52e73dc2acac2,6/25/2021,1,66
387095,0x06dc0cbf44eed256c5975210095be703504a4541,6/25/2021,1,99
387096,0xf64308396966b92fef30a53f10b2f81ef620b812,6/25/2021,1,67
387097,0x88d9b709ddd27dd1dd1c761352e52a1c96bc78e7,6/25/2021,1,6
387101,0x8b9a05f50bf3257826b0fefc0af3f58951ad662e,6/25/2021,1,97
387107,0x53c31293c544bc69898f90009ce27980d7574fa2,6/25/2021,1,169
387108,0x12e7810ad7cb016abfb903068f04c31a99e827cd,6/25/2021,1,2
387109,0x2397d082ee03799e43923f3cd4da3188a0529bbd,6/25/2021,1,11
387110,0x468492c6a5239f9f1057cefc894a83bd60c462a0,6/25/2021,1,13
387112,0x7fe65d99a0998cdba8e1f749303a467dcf87e815,6/25/2021,1,3
387113,0xf0549d13b142b37f0663e6b52ce54bd312a2edaa,6/25/2021,1,3
387119,0x10885d398a327e413e0f59ad8b41339e0ff18ff2,6/25/2021,1,341
387120,0xe93fb6784e7cec8fb8d283a70295df714f3c0db7,6/25/2021,1,10
387122,0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9,6/25/2021,1,11
387125,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,6/25/2021,1,20
387128,0x75cd58a01883c6a115a1293c4dd4ce67d11928f0,6/25/2021,1,15
387131,0x28c45e9a0bce210a05f304949f87d5268ac279d5,6/25/2021,1,373
387135,0x3d1be4d62ae38ffa738934df2dac3855777eac15,6/25/2021,1,13
387138,0x1b4bcca2636f7106207813f9e07d80d861baa705,6/25/2021,1,9
387141,0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83,6/25/2021,1,31
387142,0x6fadd14635ced43a8c2eaf11894d2771524ac2c2,6/25/2021,1,29
387144,0xbe3f82034778fbf474060f7d4a032f592559ab4d,6/25/2021,1,3
387148,0x93798c48d02a7398ee123ad99fdb5efd2a9337a1,6/25/2021,1,7
387164,0x52ef83e77243970e74680fc5814d4a7b984d4b89,6/25/2021,1,97
387165,0xeee5bcce0ace416728c73a562ec06e97b0ace96a,6/25/2021,1,2
387167,0x8a1f1dfa5d762cee3b01cad17bda9c520930adeb,6/25/2021,1,57
