ID,Owner,Claim Date,Tx Count,Power
339983,0x810d3aabbbf8cbcff5c256f2b0621c4941f8b139,6/11/2021,1,45
339986,0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8,6/11/2021,1,8
339987,0x242f20589e3aa594d5014a58501f376861984f65,6/11/2021,1,37
339988,0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9,6/11/2021,1,9
339990,0x6cad957812f1bb9ab9364f20cfa15482bce9de77,6/11/2021,1,10
339991,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,6/11/2021,1,14
339993,0x7d5c2056030d6174b21ac1ba62f057ee2422f413,6/11/2021,1,1
339994,0x0bd4ef048e01642458744a4d82ec1b3c3d9c59b9,6/11/2021,1,22
339995,0xfdf0eade0c4ba947999e7885b60099985347ee7a,6/11/2021,1,7
339996,0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848,6/11/2021,1,5
339997,0xae059b2bc5397ebfbf523873545edcae340bee5a,6/11/2021,1,21
339998,0xa7c49f85f94bc1cd02c429a5491167a4781521cc,6/11/2021,1,61
339999,0x3f31bde678303320f19a677b8ed2a4a0739daca7,6/11/2021,1,7
340000,0xa62e59a099989cec789bc1c148c624a2b3a0bff3,6/11/2021,1,59
340001,0x28c45e9a0bce210a05f304949f87d5268ac279d5,6/11/2021,1,238
340002,0x8b9a05f50bf3257826b0fefc0af3f58951ad662e,6/11/2021,1,51
340003,0xf4a6a2f446d59f6ce84f86925547d21725d84223,6/11/2021,1,53
340004,0x1d1c4379c5dca8bdc0e7de6dd58948c439b3bc0b,6/11/2021,1,3
340005,0x47c7fe4084a06aa6f5ee6e14afac191ba5b63dc5,6/11/2021,1,48
340006,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,6/11/2021,1,8
340007,0x0c5dcfd02953f0b5ff4a2971fc2d80dddea9ab01,6/11/2021,1,6
340008,0xea2abee99227196e44aaf5cbb9b768b99ecfd6df,6/11/2021,1,3
340010,0xac19baabe85dd01b94fe1528c24a9472a4d9b583,6/11/2021,1,6
340012,0x403383c411c0eb14ea0bd15e7c2ad5431a7410c2,6/11/2021,1,4
340013,0xae5499976ffd3e58be47bdd51c787a5201d957f4,6/11/2021,1,3
