"ID","Owner","oktal.eth","Claim Date","Tx Count","Power"
"230783","0x910176d294afa2cd017928ca92a0bf5a01152194","forthehorde.eth","5/16/2021","1","7"
"232443","0x540c44ff7b71f2487cd11aaf53aec1a85bfe8f7a","","5/16/2021","1","4"
"232467","0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8","hugedick.eth","5/16/2021","1","7"
"232987","0xf2b7c8f1cf94b9d8f08664137827f27f2ed00dc9","","5/17/2021","1","11"
"233478","0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7","","5/18/2021","1","5"
"243586","0xe27182da732df48f5a9be7879f3724ea1d1635a6","","5/22/2021","1","8"
"243605","0x3f31bde678303320f19a677b8ed2a4a0739daca7","twilight-pirate.eth","5/22/2021","1","6"
"243618","0x6f3924e9158c74d344bf578a251bcc2ef41f8f50","","5/22/2021","1","5"
"243622","0x346f49909af070ec12f9ad42cb46ade0e00990e8","doodledad.eth","5/22/2021","1","3"
"257391","0x5a32fb84af55046ec2fc3540e333b6c30d66ea41","doodledad.eth","5/22/2021","1","4"
"265554","0x1fbb06e5df7479be3b021cdea3271c61235ff1d5","","5/26/2021","1","6"
