"ID","Owner","shocktop.eth","Claim Date","Tx Count","Power"
"360787","0xc5fda9b6258b392f120db67202c605bf22c29853","","6/18/2021","1","4"
"360789","0x26b63e5c83238c2f614d287252e61b0398123076","","6/18/2021","1","3"
"360790","0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9","","6/18/2021","1","9"
"360791","0x6222cedf294390d754c10065b31117d856b22ad5","web3swag.eth","6/18/2021","1","6"
"360792","0x93798c48d02a7398ee123ad99fdb5efd2a9337a1","jamescarnley.eth","6/18/2021","1","5"
"360793","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","kamps.eth","6/18/2021","1","161"
"360795","0x7b3bddf3af1d6e160d57887ff4516cb3c3add495","","6/18/2021","1","16"
"360797","0xeba9717a3341e5750be43256c91ae068fdb01a27","","6/18/2021","1","9"
"360798","0xad549c7fcf1bd3e57bca464d9dce0a0d561599d1","","6/18/2021","1","11"
"360800","0x66300889afb808626498c28e3811bb9b06a014ad","shatt.eth","6/18/2021","1","9"
"360801","0xe01a97fc4607a388a41626d5e039fdecbfc6acd9","","6/18/2021","1","10"
"360803","0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab","reiniskalnins.eth","6/18/2021","1","10"
"360804","0x0a9ccba894168aaaa03f03753f631d0a902303d7","neologos.eth","6/18/2021","1","16"
"360805","0x2c84d8a2ffb283d295de6eb5287a2addda51b6ec","","6/18/2021","1","8"
"360807","0x6350e1a72158e16a28b064ac49b1c9cfeb8aeef1","","6/18/2021","1","6"
"360808","0x6f00ad0238e20646e3b4e87dc9c8319649156834","","6/18/2021","1","8"
"360809","0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6","zksyncoin.eth","6/18/2021","1","7"
"360810","0xa7c49f85f94bc1cd02c429a5491167a4781521cc","","6/18/2021","1","100"
"360811","0x15cfd653015f4620171a54466672d174d0e74d2a","","6/18/2021","1","5"
"360812","0xe729986a4b0aec7f13321c9376f1b6c7ac4f8585","","6/18/2021","1","135"
"360813","0xe27182da732df48f5a9be7879f3724ea1d1635a6","","6/18/2021","1","11"
"360814","0xa9eb52b347bc76f95745a92dd1e1c3986bcb1e2c","","6/18/2021","1","12"
"360815","0x1809754df5ac133a1cc7d4eaf45ed38cf9b39ec8","","6/18/2021","1","177"
"360816","0x6329a5fc0fd3c9fd1e1a480829e73b714f8ea212","badboys.eth","6/18/2021","1","6"
"360817","0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478","malt001.eth","6/18/2021","1","10"
"360818","0x810d3aabbbf8cbcff5c256f2b0621c4941f8b139","siddhearta.eth","6/18/2021","1","77"
"360819","0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9","","6/18/2021","1","13"
"360820","0x06dc0cbf44eed256c5975210095be703504a4541","moonsky.eth","6/18/2021","1","95"
"360821","0x242f20589e3aa594d5014a58501f376861984f65","selvis.eth","6/18/2021","1","59"
"360822","0x66fda6b697155fad61694713f4d6b0c02736e2a3","","6/18/2021","1","128"
"360824","0x170c3d36b7b6fa957c8b454c416f66c4085971c7","","6/18/2021","1","4"
"360825","0x543b65d285d708b6f23d667a0cc554fb22b458d7","","6/18/2021","1","144"
"360826","0x2b18233fb4306a705471a7271c018ce0ff7dd754","gamble.gimmethe.eth","6/18/2021","1","7"
"360827","0x4c2f62d6f34388a8d134907fea723e7ed902fe22","360cn.eth","6/18/2021","1","21"
"360828","0x76024694ed557264719683b0ceab8df1a572262e","","6/18/2021","1","34"
"360829","0xad22fafb246da9d352a9f8f9c7864b9f1fc77d04","аpple.eth","6/18/2021","1","6"
"360830","0x9f16fc2783559d833498bc018eee9acff1ab79dc","","6/18/2021","1","71"
"360831","0xac19baabe85dd01b94fe1528c24a9472a4d9b583","aligg.eth","6/18/2021","1","8"
"360834","0x6cad957812f1bb9ab9364f20cfa15482bce9de77","","6/18/2021","1","16"
"360836","0x6f3924e9158c74d344bf578a251bcc2ef41f8f50","","6/18/2021","1","6"
"360838","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","xinchen.eth","6/18/2021","1","33"
"360840","0x481bb04f60dd1f7d6ec0a3611ed8023e618697cb","","6/18/2021","1","37"
"360841","0x8463440ec4fb713fcade7e8fe7d3a7788fca91cd","wolf.eth","6/18/2021","1","5"
"360844","0x192420795e6a2c80c4a90f8a380d792145985f27","","6/18/2021","1","77"
"360846","0x18035bb5dcff413940151cea396c7ab230072e0b","","6/18/2021","1","5"
"360848","0x65b4e64e3e6d4a155f8193ec608c1a49e914a7af","ahrenstein.eth","6/18/2021","1","3"
"360849","0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1","thebear.eth","6/18/2021","1","5"
"360854","0xe22a229592ed7e512be2f7e780f3cd0a790bdb1f","","6/18/2021","1","46"
"360855","0x30b4a5477314e3fbd0c22d6afcd71eecf4d9d22f","darry·ring.eth","6/18/2021","1","11"
"360859","0x00c4803aa7cdfe5ae5d325b79d5c3c384e4a8ae9","","6/18/2021","1","27"
"360861","0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7","","6/18/2021","1","11"
"360864","0x5d29b68aafb22c491977eacf7dfb1661d2832555","","6/18/2021","1","7"
"360865","0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f","","6/18/2021","1","25"
"360871","0xf712f6fdc2f0385041e6ad2f73774d7cd8f2b278","","6/18/2021","1","9"
"360873","0x7a5ec1f07e30ae65ed1daf82141546896535203a","","6/18/2021","1","36"
"360874","0xae516bb25c4affb47a05c9956382d48ce355265f","","6/18/2021","1","5"
"360876","0x88d9b709ddd27dd1dd1c761352e52a1c96bc78e7","pugcity.eth","6/18/2021","1","5"
"360880","0x2ad550206dc4fc17a740e37306298d5b9238c162","forthehorde.eth","6/18/2021","1","67"
"360885","0x0ae5d93f9562240702bf18e2924954b419b48b50","","6/18/2021","1","33"
"360887","0x5eee4c61d5e63486dcd3eb4ad445403c9e1bb413","","6/18/2021","1","9"
"360888","0x3136043b0a2278569fcac322b7accf1395281b8f","","6/18/2021","1","5"
"360891","0x2fc5444d3818ebf2914541a9b7e15b37ae29bdc2","abvavgjoe.eth","6/18/2021","1","7"
"360895","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","6/18/2021","1","21"
"360896","0x67e867607d16c010bee44925e0217814bbebd801","","6/18/2021","1","10"
"360897","0xb10be5cbbf9655ed3648184ade56d3b4d6cedd4f","kakashi010.eth","6/18/2021","1","158"
