"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0xb35e71b6a5aebb07dfc3aa705968411ebdbc003f",3,1,4,0.418633067876888,3.7178867531695e-05,0.000232457618774317,"0xb35e71b6a5aebb07dfc3aa705968411ebdbc003f",4
"0x98e60dd382422a64232594b2eb71b7906dd98d49",1,1,2,16.4694883565838,3.7178867531695e-05,0.000139601622764946,"0x98e60dd382422a64232594b2eb71b7906dd98d49",9
"0x6337814f9d2ab10f53e65e6ccc16310e61cf8584",15,1,16,0,3.68568480023588e-05,0.000713631476556073,"0x6337814f9d2ab10f53e65e6ccc16310e61cf8584",8
"0x5564e4fbd35f37d889973eb1af427a6a555e8ebc",1,1,2,12.5811571761615,3.7178867531695e-05,0.000136154116376091,"0x5564e4fbd35f37d889973eb1af427a6a555e8ebc",14
"0x2bc05ae76e47849692b6ba5fc39e7bf07d6dc750",1,1,2,1.51797939728128,3.71816322736568e-05,8.13474926886254e-05,"0x2bc05ae76e47849692b6ba5fc39e7bf07d6dc750",4
"0x60940e32741be3a849b1fcab8a756270abb4f7c1",2,1,3,2.79150088938601,3.60256502629872e-05,8.14204635619197e-05,"0x60940e32741be3a849b1fcab8a756270abb4f7c1",14
"0xfa00d11080656f95e8687688b433aa034f6486e1",1,1,2,1.95349738083513,3.79809335713472e-05,8.13474926886254e-05,"0xfa00d11080656f95e8687688b433aa034f6486e1",11
"0x76b7cd93d78a1dfd638abbd0d91ebbd42947685b",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0x76b7cd93d78a1dfd638abbd0d91ebbd42947685b",58
"0x08ff16dbc73fc23098e5df795dd3939a8f46570c",1,1,2,53.5439396812022,3.79780486878584e-05,0.000167222182319493,"0x08ff16dbc73fc23098e5df795dd3939a8f46570c",11
"0x28d027752665e39a8b5a8c7dbdfd650e7c4ae535",3,3,6,9122.7343793236,3.71871629913354e-05,0.000303211658520408,"0x28d027752665e39a8b5a8c7dbdfd650e7c4ae535",11
"0x218ee40588d55f1d796f3b7ae10ac13fead4f202",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0x218ee40588d55f1d796f3b7ae10ac13fead4f202",58
"0xa02754992ae01254ae0021f5f68dc7ce5e4b7552",1,1,2,0,3.12910695287565e-05,0.000167222182319493,"0xa02754992ae01254ae0021f5f68dc7ce5e4b7552",11
"0x1af414c4af987f53fa232b66d685747de988d01b",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0x1af414c4af987f53fa232b66d685747de988d01b",58
"0x21c9aba2392dd5e15ce74bf9c8685ac4907b5fab",1,1,2,0,3.60230547550432e-05,0.000123466830015678,"0x21c9aba2392dd5e15ce74bf9c8685ac4907b5fab",14
"0xced2f0dcb70757339f7072a3ffa08a4a73497435",7,3,10,7.36390065245027,3.83141762452107e-05,0.000406802309904284,"0xced2f0dcb70757339f7072a3ffa08a4a73497435",79
