"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1392497534602461186","https://twitter.com/banklessDAO/status/1392497534602461186","@SelfSimilar8 @BanklessHQ We're working on plenty of ways to let anyone earn BANK!","2021-05-12 15:10 +0000","70.0","3.0","0.04285714285714286","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392485678668124161","https://twitter.com/banklessDAO/status/1392485678668124161","We thank you @bairesdao 🤝 

The bidding for ETH HAS NO SUPPLY FLOOR is still live: https://t.co/mXcS2voxCz https://t.co/dA26zTQZYi","2021-05-12 14:23 +0000","2135.0","79.0","0.03700234192037471","1.0","0.0","14.0","17.0","22.0","0.0","25.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392376736965226498","https://twitter.com/banklessDAO/status/1392376736965226498","Shit wait I missed it, someone leave https://t.co/hja2ZUUlNc","2021-05-12 07:10 +0000","2505.0","343.0","0.13692614770459083","1.0","0.0","22.0","16.0","1.0","0.0","39.0","0.0","0","0","0","0","0","264","264","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392280217100587009","https://twitter.com/banklessDAO/status/1392280217100587009","@Fernjosh1 @zapper_fi @BanklessHQ Need that","2021-05-12 00:47 +0000","41.0","3.0","0.07317073170731707","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392280008123584514","https://twitter.com/banklessDAO/status/1392280008123584514","‘Twas the night before a DAO vote, and all thru the Discord... https://t.co/Ph2dKqEaki","2021-05-12 00:46 +0000","2151.0","27.0","0.012552301255230125","1.0","0.0","4.0","12.0","0.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392271395556446210","https://twitter.com/banklessDAO/status/1392271395556446210","@Freddmannen dropped these fat 💵stacks. Designers are starting to make waves. https://t.co/OWrmZZYRnY","2021-05-12 00:12 +0000","47.0","6.0","0.1276595744680851","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392196255493750787","https://twitter.com/banklessDAO/status/1392196255493750787","🚨🚨🚨 $BANK HOLDERS 🚨🚨🚨
BanklessDAO is in its infancy. Every decision matters. We have our FIRST community proposal and it's a 🐋one. If you hold any BANK, we're voting on an airdrop of 87M BANK. If you own a 2020 or 2021 badge, this affects you. VOTE

https://t.co/vRAbg3rgKe","2021-05-11 19:13 +0000","13914.0","768.0","0.055196205260888316","14.0","5.0","58.0","80.0","316.0","0.0","294.0","0.0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392146238875729921","https://twitter.com/banklessDAO/status/1392146238875729921","Snapshot: https://t.co/Wxdg3faMkJ

Thread: https://t.co/EsrDdTIEvt","2021-05-11 15:55 +0000","1986.0","44.0","0.022155085599194362","0.0","0.0","9.0","2.0","24.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392146237671936006","https://twitter.com/banklessDAO/status/1392146237671936006","Yesterday, BanklessDAO members passed their second formal proposal! BanklessDAO will be donating $$$ 100,000 USD to @gitcoin! This donation is sourced from @cmsholdings, who offered the juicy amount to get @udiWertheimer on a podcast ep. with @TrustlessState and @RyanSAdams. 👇","2021-05-11 15:55 +0000","39398.0","587.0","0.014899233463627596","17.0","4.0","126.0","137.0","2.0","0.0","301.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1392144800774688779","https://twitter.com/banklessDAO/status/1392144800774688779","@TeamSobol @BanklessHQ Send us a DM. Probably going to start evaluating org tools very shorty. https://t.co/VIwpD2OWVV","2021-05-11 15:49 +0000","44.0","6.0","0.13636363636363635","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391900383107182592","https://twitter.com/banklessDAO/status/1391900383107182592","@0xKimberly @0xBorderless We're working on a Gitbook with some onboarding docs. Check back in a day or two!","2021-05-10 23:38 +0000","52.0","4.0","0.07692307692307693","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391856669647200258","https://twitter.com/banklessDAO/status/1391856669647200258","Us soon. https://t.co/lj2gUzHD1Y","2021-05-10 20:44 +0000","20359.0","293.0","0.014391669531902353","9.0","3.0","74.0","89.0","0.0","0.0","118.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391771697548730370","https://twitter.com/banklessDAO/status/1391771697548730370","Have a look at what the inside looks like. @frogmonkee's writeup on hard and soft consensus within BanklessDAO https://t.co/wtxRyuxYTg","2021-05-10 15:06 +0000","11202.0","62.0","0.005534725941796108","1.0","0.0","15.0","24.0","0.0","0.0","22.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391603159726915591","https://twitter.com/banklessDAO/status/1391603159726915591","Day 6 Rollup - Story time: A couple of people hopped in voice chat. Then a few more. Then more. Talked for a half hour about how this DAO is unlike any other in momentum. Talked so long we didn't even hear about $ETH passing $4K. We missed it. 🐂Bullish🐂 $BANK","2021-05-10 03:57 +0000","4646.0","127.0","0.027335342229875163","4.0","1.0","39.0","25.0","0.0","0.0","58.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391550610734944256","https://twitter.com/banklessDAO/status/1391550610734944256","@_LapsuX @BanklessHQ @RyanSAdams https://t.co/gn3YqruBGY","2021-05-10 00:28 +0000","106.0","12.0","0.11320754716981132","0.0","1.0","0.0","1.0","9.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391548686304436225","https://twitter.com/banklessDAO/status/1391548686304436225","In the most recent @BanklessHQ Roll Up, @RyanSAdams sent this message out to future members of the DAO. 

Come build with us:
👉 https://t.co/UZvNGcEt1m https://t.co/5KqpCEGfd8","2021-05-10 00:20 +0000","21893.0","520.0","0.023751884163888","6.0","4.0","48.0","42.0","55.0","0.0","122.0","0.0","0","0","0","0","0","3580","243","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391517035159441409","https://twitter.com/banklessDAO/status/1391517035159441409","Omelette du fromage

https://t.co/eohIPJycyo","2021-05-09 22:14 +0000","2864.0","64.0","0.0223463687150838","1.0","2.0","9.0","6.0","28.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391461609134952450","https://twitter.com/banklessDAO/status/1391461609134952450","Credits: @Cville_Family https://t.co/WtcTKdDjKX","2021-05-09 18:34 +0000","2460.0","31.0","0.012601626016260163","1.0","0.0","7.0","13.0","0.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1391449859131994112","https://twitter.com/banklessDAO/status/1391449859131994112","DAO De Ching https://t.co/iVnfjdG38R","2021-05-09 17:47 +0000","18742.0","646.0","0.03446803969693736","9.0","6.0","59.0","59.0","9.0","0.0","161.0","0.0","0","0","1","0","0","342","342","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
