day,address,sum_balance
2021-05-04 22:15:19,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,281882.44678
2021-05-04 22:15:37,0x79122374ecbad9cba0ddf0e0a5f1b676462677b4,300597.45824
2021-05-04 22:16:07,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,163562.33754
2021-05-04 22:16:47,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,183562.33754
2021-05-04 22:16:47,0xf1fced5b0475a935b49b95786adbda2d40794d2d,179104.47762
2021-05-04 22:17:15,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,194792.67788
2021-05-04 22:18:02,0x92f2c91d93b5049136c9d51cf8b29983c43ac738,253948.55246
2021-05-04 22:18:20,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,182336.31426
2021-05-04 22:18:20,0x6c65fb326e7734ba5508b5d043718288b43b9ed9,429607.68186
2021-05-04 22:18:20,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,207488.02048
2021-05-04 22:18:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,202336.31426
2021-05-04 22:19:20,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,218336.31426
2021-05-04 22:20:49,0xd6c00946cd714f0030c55c65afc3f0200b40f497,253948.55246
2021-05-04 22:21:30,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,232505.78426
2021-05-04 22:21:39,0xd4f50234b84cc9c4cce867515bd3990e86374af7,343745.39342
2021-05-04 22:22:30,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,252505.78426
2021-05-04 22:22:36,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,248546.04276
2021-05-04 22:23:01,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,267546.04276
2021-05-04 22:23:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,252270.27278
2021-05-04 22:24:54,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,245513.05266
2021-05-04 22:24:55,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,303358.00324
2021-05-04 22:27:28,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,290207.90188
2021-05-04 22:27:59,0x9ddac6c981572aa3f4ab7ffa3d64356d94093206,253948.55246
2021-05-04 22:33:16,0xbbde1e05d96c5c4f7e377d5eaed21cac08a92945,263842.83400
2021-05-04 22:33:24,0x9948b1896ea0a20860f18d98b70c3ee3a89f5218,253948.55246
2021-05-04 22:34:11,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,295007.90188
2021-05-04 22:34:11,0x9dbb86a0af0b607a30beda1bcce6f625c10e65cc,253948.55246
2021-05-04 22:35:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,275007.90188
2021-05-04 22:35:45,0x3439485a8eff3bb454c19f0c0ad84600dc4483e0,236801.63262
2021-05-04 22:35:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,292154.82172
2021-05-04 22:36:13,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,262059.71388
2021-05-04 22:38:21,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,262173.22810
2021-05-04 22:39:03,0xfef1b2dc9f48dcc68bf69020a563118e1563ab9a,179104.47762
2021-05-04 22:39:15,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,252995.53418
2021-05-04 22:39:26,0xd5b3988ed0ab5ec375e51bb6fd10e205cec16a2e,261847.34866
2021-05-04 22:39:29,0x5ad99a2ecb18bb53b5ff6db7a2bb5146eaa67634,179104.47762
2021-05-04 22:40:24,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,225923.81152
2021-05-04 22:40:24,0x9008dc2c7ad1dd71032e7700a70d2ce88da43c00,179104.47762
2021-05-04 22:41:42,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,243802.57122
2021-05-04 22:42:24,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,289707.50162
2021-05-04 22:44:48,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,285707.50162
2021-05-04 22:46:29,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,235707.50162
2021-05-04 22:47:58,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,246394.03978
2021-05-04 22:48:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,207924.76338
2021-05-04 22:48:45,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,245957.29688
2021-05-04 22:50:03,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,215507.21822
2021-05-04 22:50:03,0x6e32c149094e8007d7bb838554175470ecf82f3e,253948.55246
2021-05-04 22:51:02,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,226125.44240
2021-05-04 22:51:13,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,204413.39444
2021-05-04 22:51:13,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,267669.34484
2021-05-04 22:52:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,254413.39444
2021-05-04 22:53:04,0x7fd93c8cfd654b24ef2c4b5fa36d41bea4cf2f90,253948.55246
2021-05-04 22:53:32,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,266936.85724
2021-05-04 22:56:02,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,276936.85724
2021-05-04 22:56:14,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,296936.85724
2021-05-04 22:56:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,285637.31444
2021-05-04 22:57:37,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,324998.41170
2021-05-04 22:58:22,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,284948.91806
2021-05-04 22:58:22,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,307718.83848
2021-05-04 22:59:04,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,296248.46086
2021-05-04 23:00:10,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,312046.05326
2021-05-04 23:00:38,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,274037.26954
2021-05-04 23:00:38,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,345727.62220
2021-05-04 23:01:08,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,297942.25246
2021-05-04 23:01:40,0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,253948.55246
2021-05-04 23:02:33,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,313942.25246
2021-05-04 23:02:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,277033.77318
2021-05-04 23:02:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,313942.25246
2021-05-04 23:03:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,369941.35322
2021-05-04 23:03:53,0x7fd93c8cfd654b24ef2c4b5fa36d41bea4cf2f90,197949.45170
2021-05-04 23:03:53,0xf3a57fabea6e198403864640061e3abc168cee80,253948.55246
2021-05-04 23:03:55,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,362026.20984
2021-05-04 23:03:57,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,331511.96998
2021-05-04 23:03:57,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,376241.86206
2021-05-04 23:04:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,349742.34764
2021-05-04 23:04:45,0xdfd9945e82ae729deabdb0c1d57a16fb884cad83,253948.55246
2021-05-04 23:05:26,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,329742.34764
2021-05-04 23:05:43,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,376571.00948
2021-05-04 23:05:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,327951.92720
2021-05-04 23:05:56,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,388261.51650
2021-05-04 23:07:23,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,369022.69034
2021-05-04 23:07:52,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,365325.59494
2021-05-04 23:08:25,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,351836.80248
2021-05-04 23:09:04,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,346149.45516
2021-05-04 23:09:04,0xa0ef3d1ced8d9b5470a2b8c8764e58fad5d36db6,173215.48368
2021-05-04 23:09:53,0x3c72abf6f7c7490736b1d623e459fbd7a91a8743,253948.55246
2021-05-04 23:09:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,363172.67742
2021-05-04 23:10:00,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,542277.15504
2021-05-04 23:11:20,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,618521.22988
2021-05-04 23:11:51,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,638521.22988
2021-05-04 23:12:24,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,624583.22988
2021-05-04 23:14:10,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,620583.22988
2021-05-04 23:14:10,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,266059.71388
2021-05-04 23:14:36,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,829334.83168
2021-05-04 23:14:48,0x3fcb35a1cbfb6007f9bc638d388958bc4550cb28,296743.78770
2021-05-04 23:14:48,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,762888.08180
2021-05-04 23:15:01,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,709988.37168
2021-05-04 23:15:01,0xc01bd2652d1bf7a346f98733a9cca0ffafc10eae,429141.57218
2021-05-04 23:16:43,0x16ec2aea80863c1fb4e13440778d0c9967fc51cb,296743.78770
2021-05-04 23:17:02,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,270059.71388
2021-05-04 23:17:22,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,789988.37168
2021-05-04 23:17:22,0x9948b1896ea0a20860f18d98b70c3ee3a89f5218,173948.55246
2021-05-04 23:17:54,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,785988.37168
2021-05-04 23:17:54,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,274059.71388
2021-05-04 23:18:20,0x751876fea4048761bd9a1fdd1bbc4cbd66e147ee,179104.47762
2021-05-04 23:18:50,0x7d9dd81ac0447af79b3a60cde49738730eb077e6,179104.47762
2021-05-04 23:18:55,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,765988.37168
2021-05-04 23:19:42,0xc811a8ade79ef77d5498b84daad4b8113ba87a9f,173215.48368
2021-05-04 23:20:14,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,741354.38252
2021-05-04 23:21:08,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,734012.40104
2021-05-04 23:22:30,0x1ce2304369d957fc1f0dd32c983f445e449f4c7a,290213.93546
2021-05-04 23:22:47,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,278059.71388
2021-05-04 23:22:54,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,872081.47310
2021-05-04 23:23:16,0x57c924feb43e30a08233661f8782d10e378cd6f4,230000.00046
2021-05-04 23:23:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,896030.02510
2021-05-04 23:23:45,0xe4cb3d54c6224b05183f02dd17bf93a041620691,179104.47762
2021-05-04 23:24:22,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,899830.02510
2021-05-04 23:24:22,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,282059.71388
2021-05-04 23:24:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,880974.60154
2021-05-04 23:24:45,0x16ec2aea80863c1fb4e13440778d0c9967fc51cb,249277.65762
2021-05-04 23:24:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,928440.73162
2021-05-04 23:25:09,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,906792.69098
2021-05-04 23:26:48,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,834326.72476
2021-05-04 23:27:46,0x57c924feb43e30a08233661f8782d10e378cd6f4,210000.00046
2021-05-04 23:27:46,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,854326.72476
2021-05-04 23:28:18,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,918766.72476
2021-05-04 23:28:18,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,286059.71388
2021-05-04 23:28:41,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,825887.61120
2021-05-04 23:28:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,890327.61120
2021-05-04 23:28:57,0x4eb172821b5bc013269c4f6f6204f092d44197ec,179104.47762
