username,num_roles,content_count
finnsss,4,2.0
Chingo,1,2.0
GolanTrevize,5,2.0
WilliamLee666,4,2.0
sukie,1,2.0
GU ΞLFI .eth 🦇🔊🏴,1,2.0
Kahlil,1,2.0
chopstickpanda,5,2.0
marcel,1,2.0
sparfenyuk,1,2.0
ProfessionalCheerful,6,2.0
Buix90,1,2.0
yinfei,1,2.0
scottdavidmeyer,1,2.0
djl816,1,2.0
StarBoy,6,2.0
xan,1,2.0
beatsoup,1,2.0
Remy,1,2.0
ainsley.bl,4,2.0
Tsetso,4,2.0
Mr. Newton,5,2.0
mr.scientifik,2,2.0
DeFiDave,1,2.0
Irina Marinescu,1,2.0
The White Whale,1,2.0
KMG_Gwei,1,2.0
emmy,1,2.0
ElBinBit,1,2.0
ArcoiKun,1,2.0
Miguel Gomez,2,2.0
CryptoHamilton,3,2.0
0x0F,5,2.0
christorres,1,2.0
"Andro(🍵,😼)",2,2.0
CliffJ,1,2.0
JP,1,2.0
in4ra3d,1,2.0
iamdbc,6,2.0
Stoagie,1,2.0
autist_msg,1,2.0
dysko,1,2.0
SarahJKK,2,2.0
Hollywood41,1,2.0
klein,1,2.0
tayken,2,2.0
fitzgerald,2,2.0
satishkn4,1,2.0
Alchemist.,2,2.0
Chris-Beamish,1,2.0
cboz27,4,2.0
0x1,1,2.0
Phantom,1,2.0
FriedWagyu,1,2.0
mackan,1,2.0
Bonk,4,2.0
lehoff,4,2.0
LilChiChi,4,2.0
Lawwong,1,2.0
"Banana (🐶,🐶)",1,2.0
angelol,1,2.0
Feynman,1,2.0
Cryptnayor_Fennec Thug,1,2.0
Bruno Moniz,1,2.0
onedream,1,2.0
Larry the Cucumber,1,2.0
Gryphonboy [Master of Coin],5,2.0
_Brawndo,2,2.0
charliemarketplace.eth,1,2.0
onur 🏴,1,2.0
grey | 🌐✨| est,1,2.0
"oldmate (3,3)",1,2.0
persu,1,2.0
spencerstensrude,1,2.0
Pritesh Trivedi,2,2.0
voska,1,2.0
gopeto,1,2.0
running,5,2.0
spratap,5,2.0
memes_n_stuff,5,2.0
cryptobilla,1,2.0
kauffdiggity,2,2.0
jayjitsunyc,1,2.0
moralcompass,1,2.0
LukaKrcmar,2,2.0
dixie,3,2.0
Luluislulu,1,2.0
louloulou,3,2.0
bJ,2,2.0
eli_,1,2.0
Domanost,5,2.0
nkhlghbl,1,2.0
sijo0703,1,2.0
sgdheeban,1,2.0
Matlemac,3,2.0
Z4Zoltan,1,2.0
aksəl | DFE,2,2.0
coler,2,2.0
ningyuexin,1,2.0
keroro520,1,2.0
Crypto8bit,6,2.0
Sartre,1,2.0
ionutgighileanu,1,2.0
JeffyJeff,1,2.0
ozmel,5,2.0
Xs,5,2.0
8bitvc,3,2.0
Discord User,1,2.0
CookingCryptos,1,2.0
hulio,1,2.0
Josh Kelly,2,1.0
razorblade,1,1.0
Bane,4,1.0
Deadpolaroid.eth,1,1.0
Mr. Rock,1,1.0
jayjayRV 🏴,1,1.0
dcrazy,2,1.0
farsar666,1,1.0
yaffa,2,1.0
tucker,1,1.0
itsMarc.eth,1,1.0
Digimaverick,2,1.0
KyleBergquist,2,1.0
tabasko,1,1.0
chrisraz,4,1.0
gajesh,1,1.0
Metarishi | Artsect | Muse0,2,1.0
cryptodeft,4,1.0
chrisk,1,1.0
abhikaushal11,6,1.0
MarcinSPro,2,1.0
brizznook,6,1.0
inuke.eth,1,1.0
reloadedd,6,1.0
starlink,1,1.0
atlien,6,1.0
traderjoesofficial,1,1.0
JerryZ,2,1.0
uschtwill,2,1.0
KriptVal,1,1.0
"Hippo-Corleone (🎩,🎩)",1,1.0
0xBank,1,1.0
unlikely_comfort,1,1.0
bomber,1,1.0
ThePrincess🏴,2,1.0
knome,1,1.0
J Mason Bump,1,1.0
nf.carlo.acutis,1,1.0
Nickels,1,1.0
rizky.biz,1,1.0
birdman,3,1.0
Vortoxica,1,1.0
"articoloquinto (👾,👾)",1,1.0
Dralle,2,1.0
K2,1,1.0
stray,2,1.0
Wirinun,2,1.0
vitop70,1,1.0
tweetious,5,1.0
Chromatic,1,1.0
beanie,1,1.0
Ali,1,1.0
0xAl,4,1.0
roppongi.eth,1,1.0
Ksaynice,1,1.0
samuellbronko,1,1.0
antmn,2,1.0
max davinci,1,1.0
kbhard,2,1.0
OMID,6,1.0
kabirh,5,1.0
Sanctus,1,1.0
Eyancey,1,1.0
biko,1,1.0
Abhi,1,1.0
Hodldor,4,1.0
LIUYONGYOU,2,1.0
MEHUL,1,1.0
刘皓然,2,1.0
btcallvictor 🏴,4,1.0
unknownplayer,4,1.0
bOredorn,1,1.0
kalaspuff,1,1.0
MBM0730,1,1.0
Huxwell | Cali,3,1.0
Qkyrie,1,1.0
tnfty,2,1.0
RyanBranch,2,1.0
homerblue,2,1.0
Daddy Pig!,1,1.0
lrnt,2,1.0
thore hildebrandt,1,1.0
gsnappy,1,1.0
korion2525,3,1.0
How1337ItIs,5,1.0
Sea,1,1.0
anaphant,1,1.0
unimaker,6,1.0
cococode,1,1.0
FallenIdols,1,1.0
ARKIIITΞKT,1,1.0
dangerboy,2,1.0
ShortCircuit,1,1.0
yashvanth kumar,1,1.0
CarolW,1,1.0
teemsei,1,1.0
c2yptic,2,1.0
bad_brad,3,1.0
King Hajj,1,1.0
uxspider,1,1.0
Joerdis95,1,1.0
brendanbiles,4,1.0
bagelchips.eth,3,1.0
kachinaKrypto,1,1.0
henrycing2008,1,1.0
daramir,3,1.0
DongD,1,1.0
buster,1,1.0
HailMary,2,1.0
Resertion,5,1.0
big bill phil,2,1.0
bozo(UTC +1),1,1.0
Imzsasz,6,1.0
Potplucker,2,1.0
Lyxe,1,1.0
ultrasound,2,1.0
CryptoFinatic,1,1.0
kattya,1,1.0
Yvonne🎃,1,1.0
Donut,1,1.0
csgui,4,1.0
chat-to-chi,1,1.0
"Dwayne ""The Jock"" Ronson",2,1.0
Tekima,4,1.0
leomanfrini,4,1.0
Stefanie,4,1.0
missymissyval,4,1.0
AG,5,1.0
xihari_liwei,1,1.0
swampcabbage,1,1.0
baristaze,4,1.0
Nxo,2,1.0
rangerrobbins,5,1.0
tannerevans,1,1.0
deydril,1,1.0
JÉ,1,1.0
"Ry_e (3,3)",1,1.0
Emile - (at)emilepetrone,1,1.0
rahan25,2,1.0
Panoukla,5,1.0
AB3784,1,1.0
jadesea,1,1.0
HarryNiu,1,1.0
"Malbec (🐶, 🐶)",4,1.0
maxgeo,1,1.0
mycoBici,1,1.0
Stilmill,2,1.0
sertac,4,1.0
k0er,1,1.0
Highwarlok🏴,3,1.0
3dmindseye,5,1.0
kibbyku,3,1.0
Doyy,2,1.0
carlton banks,1,1.0
damakadam,5,1.0
Nadia,3,1.0
binks,1,1.0
bearryseinfeld,3,1.0
ZHUANG,2,1.0
jgstokes3,1,1.0
Cesar,2,1.0
sidjohn,1,1.0
tobowers | Crypto Colosseum,1,1.0
Robert U.,3,1.0
cryptozen,5,1.0
Mihai,2,1.0
Adelf Menezes,1,1.0
rimsy_rimmer,2,1.0
puncar,1,1.0
mona,1,1.0
masroorhussnain,2,1.0
Hebe,1,1.0
devth,2,1.0
0xe77.eth,2,1.0
aufond77,1,1.0
bliggityblah,5,1.0
brandonkpbailey,1,1.0
wackerow,1,1.0
Nata,1,1.0
Netling,2,1.0
Mojo,1,1.0
Tigo,1,1.0
astroboy,5,1.0
eugenptr.eth,5,1.0
0xKelvin,1,1.0
seseWho,5,1.0
Valirini,2,1.0
blockbelly,2,1.0
rodgco,1,1.0
Aziz,1,1.0
ericosiu,1,1.0
David—West,1,1.0
DMoon-PM,1,1.0
TheZuGuy,2,1.0
upthespurs,2,1.0
atif,1,1.0
TomicShill,1,1.0
Julian,6,1.0
Neeraj,1,1.0
Loobi,1,1.0
vikiii,1,1.0
Brock,3,1.0
PlayChessAndScrew,2,1.0
Polaske,5,1.0
Infinite62,1,1.0
Clavis,2,1.0
Jazozo,1,1.0
Aletsblancas,5,1.0
Phoebe,1,1.0
Malcolm,1,1.0
Peruner 🏴,1,1.0
baez,1,1.0
jmefrisco,1,1.0
hongjun,4,1.0
rony,1,1.0
JB,1,1.0
cornboss,1,1.0
Styx,4,1.0
Cass,3,1.0
0xSmartCrypto,2,1.0
CyrptoCaygeon,1,1.0
Monmon97,1,1.0
jordakas,1,1.0
hardtotell,1,1.0
vakgadde,1,1.0
Travin,1,1.0
SoccerInnit,5,1.0
dyccue,4,1.0
Tortuga “Slow Hand”,1,1.0
topfly,5,1.0
fbitti,1,1.0
fidel,1,1.0
tuvok79,6,1.0
Tyler S | TradFi to DeFi,4,1.0
Raphbaph,1,1.0
Ryuusenka,1,1.0
HIRO51,3,1.0
DavidRM,5,1.0
pratikrenuse,1,1.0
Fer Lutz,2,1.0
andersonha,1,1.0
Quokaa,4,1.0
